0, 3.0, 1.0, -2.0, -2.0
1, 1.7999999999999998, -0.20000000000000018, -3.2, 1.7999999999999998, -0.20000000000000018
2, 5.2, -1.7999999999999998, -1.7999999999999998, 0.20000000000000018, -1.7999999999999998
3, 3.5999999999999996, 1.5999999999999996, -0.40000000000000036, -1.4000000000000004, -3.4000000000000004
4, 2.0, 5.0, -2.0, -3.0, -2.0
5, 0.40000000000000036, 8.4, -3.5999999999999996, -4.6, -0.5999999999999996
6, 3.8000000000000007, 6.800000000000001, -2.1999999999999993, -6.199999999999999, -2.1999999999999993
7, 2.1999999999999993, 10.2, -0.8000000000000007, -7.800000000000001, -3.8000000000000007
8, 0.5999999999999996, 13.6, -2.4000000000000004, -9.4, -2.4000000000000004
9, 4.0, 12.0, -4.0, -11.0, -1.0
10, 7.399999999999999, 10.399999999999999, -5.600000000000001, -12.600000000000001, 0.3999999999999986
11, 10.8, 8.8, -4.199999999999999, -14.2, -1.1999999999999993
12, 14.2, 10.2, -5.800000000000001, -15.8, -2.8000000000000007
13, 17.6, 11.600000000000001, -7.399999999999999, -17.4, -4.399999999999999
14, 16.0, 10.0, -6.0, -14.0, -6.0
15, 14.399999999999999, 11.399999999999999, -7.600000000000001, -10.600000000000001, -7.600000000000001
16, 17.8, 9.8, -6.199999999999999, -12.2, -9.2
17, 16.2, 11.2, -7.800000000000001, -8.8, -10.8
18, 14.600000000000001, 9.600000000000001, -6.399999999999999, -5.399999999999999, -12.399999999999999
19, 18.0, 8.0, -5.0, -7.0, -14.0
20, 16.4, 11.399999999999999, -6.600000000000001, -5.600000000000001, -15.600000000000001
21, 17.799999999999997, 14.799999999999997, -8.200000000000003, -7.200000000000003, -17.200000000000003
22, 16.200000000000003, 18.200000000000003, -9.799999999999997, -8.799999999999997, -15.799999999999997
23, 19.6, 16.6, -8.399999999999999, -10.399999999999999, -17.4
24, 21.0, 15.0, -10.0, -7.0, -19.0
25, 24.4, 13.399999999999999, -11.600000000000001, -8.600000000000001, -17.6
26, 27.799999999999997, 14.799999999999997, -13.200000000000003, -10.200000000000003, -19.200000000000003
27, 31.200000000000003, 13.200000000000003, -14.799999999999997, -11.799999999999997, -17.799999999999997
28, 29.6, 16.6, -16.4, -13.399999999999999, -16.4
29, 28.0, 20.0, -15.0, -15.0, -18.0
30, 31.4, 18.4, -13.600000000000001, -16.6, -19.6
31, 34.8, 16.799999999999997, -12.200000000000003, -18.200000000000003, -21.200000000000003
32, 36.2, 20.200000000000003, -13.799999999999997, -19.799999999999997, -22.799999999999997
33, 39.6, 18.6, -15.399999999999999, -18.4, -24.4
34, 41.0, 22.0, -17.0, -20.0, -26.0
35, 39.4, 25.4, -18.6, -18.6, -27.6
36, 42.8, 23.799999999999997, -20.200000000000003, -20.200000000000003, -26.200000000000003
37, 46.2, 25.200000000000003, -21.799999999999997, -21.799999999999997, -27.799999999999997
38, 49.6, 23.6, -23.4, -20.4, -29.4
39, 48.0, 27.0, -25.0, -22.0, -28.0
40, 46.400000000000006, 30.400000000000006, -23.599999999999994, -23.599999999999994, -29.599999999999994
41, 47.8, 28.799999999999997, -25.200000000000003, -20.200000000000003, -31.200000000000003
42, 51.2, 27.200000000000003, -26.799999999999997, -21.799999999999997, -29.799999999999997
43, 54.599999999999994, 25.599999999999994, -28.400000000000006, -23.400000000000006, -28.400000000000006
44, 53.0, 24.0, -30.0, -20.0, -27.0
45, 51.400000000000006, 22.400000000000006, -31.599999999999994, -16.599999999999994, -25.599999999999994
46, 52.8, 20.799999999999997, -28.200000000000003, -18.200000000000003, -27.200000000000003
47, 51.2, 19.200000000000003, -29.799999999999997, -14.799999999999997, -25.799999999999997
48, 49.599999999999994, 17.599999999999994, -31.400000000000006, -11.400000000000006, -24.400000000000006
49, 48.0, 16.0, -28.0, -13.0, -23.0
50, 46.400000000000006, 14.400000000000006, -29.599999999999994, -9.599999999999994, -21.599999999999994
51, 44.8, 17.799999999999997, -28.200000000000003, -11.200000000000003, -23.200000000000003
52, 46.2, 21.200000000000003, -29.799999999999997, -12.799999999999997, -24.799999999999997
53, 49.599999999999994, 19.599999999999994, -31.400000000000006, -14.400000000000006, -23.400000000000006
54, 48.0, 23.0, -33.0, -16.0, -22.0
55, 49.400000000000006, 26.400000000000006, -34.599999999999994, -17.599999999999994, -23.599999999999994
56, 47.8, 24.799999999999997, -36.2, -14.200000000000003, -22.200000000000003
57, 46.2, 23.200000000000003, -37.8, -10.799999999999997, -20.799999999999997
58, 49.599999999999994, 21.599999999999994, -39.400000000000006, -12.400000000000006, -19.400000000000006
59, 53.0, 20.0, -41.0, -11.0, -21.0
60, 54.400000000000006, 18.400000000000006, -42.599999999999994, -7.599999999999994, -22.599999999999994
61, 52.8, 16.799999999999997, -39.2, -9.200000000000003, -21.200000000000003
62, 51.2, 15.200000000000003, -35.8, -10.799999999999997, -19.799999999999997
63, 49.599999999999994, 13.599999999999994, -32.400000000000006, -12.400000000000006, -18.400000000000006
64, 51.0, 12.0, -29.0, -14.0, -20.0
65, 54.400000000000006, 10.400000000000006, -30.599999999999994, -15.599999999999994, -18.599999999999994
66, 52.8, 13.799999999999997, -32.2, -17.200000000000003, -17.200000000000003
67, 56.2, 12.200000000000003, -33.8, -15.799999999999997, -18.799999999999997
68, 59.599999999999994, 10.599999999999994, -35.400000000000006, -17.400000000000006, -17.400000000000006
69, 58.0, 14.0, -37.0, -19.0, -16.0
70, 56.400000000000006, 12.400000000000006, -38.599999999999994, -15.599999999999994, -14.599999999999994
